기준년월,기준년,기준월,시도코드,시도명,상영영화수,영화관람객수,지출금액,인구당영화관람객수,영화관람객수점수,지출금액점수,종합점수,기준상영영화수,기준영화관람객수,기준지출금액
201908,2019,8,27,대구시,96,1311539,11163661380.0,536.0342,210.81438,169.34661,190.0805,234.58333,2410351.25,25540506805.66667
201908,2019,8,28,인천시,85,1275125,10889678390.0,431.2918,169.62074,136.70741,153.16407,234.58333,2410351.25,25540506805.66667
201908,2019,8,29,광주시,70,957248,7885009080.0,655.90179,257.95655,200.52804,229.24229,234.58333,2410351.25,25540506805.66667
201908,2019,8,30,대전시,70,850509,7287229940.0,574.4664,225.9292,182.68663,204.30792,234.58333,2410351.25,25540506805.66667
201908,2019,8,31,울산시,47,579307,4848319720.0,503.61647,198.06496,156.43753,177.25125,234.58333,2410351.25,25540506805.66667
201908,2019,8,36,세종시,27,129570,1055962390.0,390.15592,153.4426,118.01596,135.72928,234.58333,2410351.25,25540506805.66667
201908,2019,8,41,경기도,126,5948127,50653409690.0,450.82255,177.30189,142.49271,159.8973,234.58333,2410351.25,25540506805.66667
201908,2019,8,43,충청북도,53,703320,5780536470.0,439.73935,172.94303,134.14333,153.54318,234.58333,2410351.25,25540506805.66667
201908,2019,8,44,충청남도,106,868392,7135561640.0,408.62429,160.70594,124.62211,142.66402,234.58333,2410351.25,25540506805.66667
201908,2019,8,45,전라북도,95,833603,6489169600.0,457.0237,179.74071,132.04657,155.89364,234.58333,2410351.25,25540506805.66667
201908,2019,8,46,전라남도,52,616043,4777755610.0,329.9475,129.76351,94.97653,112.37002,234.58333,2410351.25,25540506805.66667
201908,2019,8,47,경상북도,103,870592,7023070380.0,326.3508,128.34898,97.71373,113.03136,234.58333,2410351.25,25540506805.66667
201908,2019,8,48,경상남도,154,1391994,11521517440.0,413.63369,162.67606,127.0711,144.87358,234.58333,2410351.25,25540506805.66667
201908,2019,8,50,제주도,40,279282,2364515690.0,416.51492,163.8092,130.88455,147.34688,234.58333,2410351.25,25540506805.66667
201908,2019,8,51,강원도,73,665830,5216893700.0,432.13827,169.95364,125.66951,147.81157,234.58333,2410351.25,25540506805.66667
201909,2019,9,0,전국,427,14733642,124445262708.0,284.16305,111.75716,89.08292,100.42004,234.58333,2410351.25,25540506805.66667
201909,2019,9,11,서울시,248,3586230,30710170878.0,368.18105,144.8002,117.02108,130.91064,234.58333,2410351.25,25540506805.66667
201909,2019,9,26,부산시,115,1084514,9133831560.0,316.97015,124.65971,99.082,111.87085,234.58333,2410351.25,25540506805.66667
201909,2019,9,27,대구시,112,796562,6838218460.0,325.75626,128.11515,103.79459,115.95487,234.58333,2410351.25,25540506805.66667
201909,2019,9,28,인천시,97,752476,6462282800.0,254.48964,100.08704,81.11889,90.60296,234.58333,2410351.25,25540506805.66667
201909,2019,9,29,광주시,77,553427,4620758830.0,379.15516,149.11616,117.49746,133.30681,234.58333,2410351.25,25540506805.66667
201909,2019,9,30,대전시,82,513842,4411869500.0,347.27478,136.57807,110.66871,123.62339,234.58333,2410351.25,25540506805.66667
201909,2019,9,31,울산시,62,324197,2720825510.0,281.94157,110.88348,87.82322,99.35335,234.58333,2410351.25,25540506805.66667
201909,2019,9,36,세종시,34,68531,561848050.0,205.33202,80.75407,62.48087,71.61747,234.58333,2410351.25,25540506805.66667
201909,2019,9,41,경기도,151,3450024,29475490870.0,261.22259,102.73501,82.83392,92.78447,234.58333,2410351.25,25540506805.66667
201909,2019,9,43,충청북도,76,420561,3494761610.0,262.95926,103.41802,81.10275,92.26038,234.58333,2410351.25,25540506805.66667
201909,2019,9,44,충청남도,113,500215,4175888580.0,235.41136,92.58383,72.94208,82.76296,234.58333,2410351.25,25540506805.66667
201909,2019,9,45,전라북도,119,471380,3735645110.0,258.59038,101.6998,76.06159,88.88069,234.58333,2410351.25,25540506805.66667
201909,2019,9,46,전라남도,61,360681,2865864210.0,193.2998,76.02197,57.00623,66.5141,234.58333,2410351.25,25540506805.66667
201909,2019,9,47,경상북도,105,516058,4220561270.0,193.51244,76.1056,58.7407,67.42315,234.58333,2410351.25,25540506805.66667
201909,2019,9,48,경상남도,160,794240,6634833890.0,236.09714,92.85354,73.20278,83.02816,234.58333,2410351.25,25540506805.66667
201909,2019,9,50,제주도,53,161310,1387578030.0,240.54219,94.60171,76.7973,85.69951,234.58333,2410351.25,25540506805.66667
201909,2019,9,51,강원도,80,379394,2994833550.0,246.24445,96.84433,72.14517,84.49475,234.58333,2410351.25,25540506805.66667
201910,2019,10,0,전국,506,14858383,123754715700.0,286.56087,112.70018,88.58611,100.64315,234.58333,2410351.25,25540506805.66667
201910,2019,10,11,서울시,295,4113207,35432395250.0,422.46147,166.1479,135.07209,150.60999,234.58333,2410351.25,25540506805.66667
201910,2019,10,26,부산시,129,1049570,8651274240.0,306.99316,120.7359,93.91953,107.32772,234.58333,2410351.25,25540506805.66667
201910,2019,10,27,대구시,148,758743,6335214850.0,310.51128,122.11953,96.22825,109.17389,234.58333,2410351.25,25540506805.66667
201910,2019,10,28,인천시,128,744651,6213578190.0,251.82788,99.04021,77.99223,88.51622,234.58333,2410351.25,25540506805.66667
201910,2019,10,29,광주시,111,509854,4155178670.0,349.36822,137.40139,105.6783,121.53985,234.58333,2410351.25,25540506805.66667
201910,2019,10,30,대전시,109,513916,4308626500.0,347.60788,136.70908,108.16702,122.43805,234.58333,2410351.25,25540506805.66667
201910,2019,10,31,울산시,88,312780,2578672450.0,272.12246,107.02177,83.26839,95.14508,234.58333,2410351.25,25540506805.66667
201910,2019,10,36,세종시,41,74412,600452120.0,221.22989,87.00647,66.25792,76.63219,234.58333,2410351.25,25540506805.66667
201910,2019,10,41,경기도,169,3510135,29436531890.0,265.53887,104.43254,82.65126,93.5419,234.58333,2410351.25,25540506805.66667
201910,2019,10,43,충청북도,103,379987,3044443940.0,237.56626,93.43132,70.64519,82.03825,234.58333,2410351.25,25540506805.66667
201910,2019,10,44,충청남도,137,476910,3834692360.0,224.46848,88.28016,66.9897,77.63493,234.58333,2410351.25,25540506805.66667
201910,2019,10,45,전라북도,147,421456,3267075180.0,231.33878,90.98215,66.56009,78.77112,234.58333,2410351.25,25540506805.66667
201910,2019,10,46,전라남도,82,299339,2289990760.0,160.50013,63.12234,45.57266,54.3475,234.58333,2410351.25,25540506805.66667
201910,2019,10,47,경상북도,141,459327,3656978290.0,172.28604,67.75757,50.9107,59.33414,234.58333,2410351.25,25540506805.66667
201910,2019,10,48,경상남도,190,711799,5793854900.0,211.6004,83.21933,63.92714,73.57324,234.58333,2410351.25,25540506805.66667
201910,2019,10,50,제주도,56,156217,1322964180.0,232.90316,91.59739,73.20719,82.40229,234.58333,2410351.25,25540506805.66667
201910,2019,10,51,강원도,110,366080,2832791930.0,237.57591,93.43512,68.23381,80.83446,234.58333,2410351.25,25540506805.66667
201911,2019,11,0,전국,603,18600679,155388033415.0,358.73032,141.08337,111.22833,126.15585,234.58333,2410351.25,25540506805.66667
201911,2019,11,11,서울시,362,4665294,40645337285.0,479.34828,188.52064,155.00348,171.76206,234.58333,2410351.25,25540506805.66667
201911,2019,11,26,부산시,134,1277877,10463200930.0,374.00683,147.0914,113.66156,130.37648,234.58333,2410351.25,25540506805.66667
201911,2019,11,27,대구시,132,951562,8001659460.0,389.7319,153.27584,121.6375,137.45667,234.58333,2410351.25,25540506805.66667
201911,2019,11,28,인천시,123,968003,8158450440.0,327.33226,128.73497,102.39491,115.56494,234.58333,2410351.25,25540506805.66667
201911,2019,11,29,광주시,99,664044,5404293640.0,455.16291,179.00889,137.48886,158.24888,234.58333,2410351.25,25540506805.66667
201911,2019,11,30,대전시,95,658705,5563417470.0,445.98854,175.40075,139.8083,157.60452,234.58333,2410351.25,25540506805.66667
201911,2019,11,31,울산시,58,391831,3267965080.0,341.0423,134.12693,105.57119,119.84906,234.58333,2410351.25,25540506805.66667
